Priority,Product,Tab,Row,Module,Endpoint,Path,Method,SuggestedMethod,HasRequest,HasResponse,Action
P1,kpost-api,KatchupAPI,76,,,/v2/profile/advancedSearch/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,77,,,/v2/contacts/globalSearch/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,80,,,/v2/common/getDesignation/,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,81,,,/v2/profile/updateDesignation,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,82,Integration,,/metaDee/aiMessage,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,83,KALLv2  Kool Kall,,/v2/kall/scheduledKall,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,84,KALLv2  Kool Kall & individual Kool,,/v2/kall/updateKallStatus,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,85,KALLv2  Kool Kall,,/v2/kall/joinScheduleKall,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,87,KALLv2  Kool Kall,,/v2/kall/reScheduleKall,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,88,KALLv2  Kool Kall,,/v2/kall/endKall,,,no,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,88,KALLv2  Kool Kall,,/v2/kall/endKoolKall,,,no,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,90,KALLv2,,/v2/kall/kallDashboard,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,91,KALLv2,,/v2/kall/initiateKall,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,93,KALLv2,,/v2/kall/clearKallBykallIds,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,95,KALLv2,,/v2/kall/endIndividualKall/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,96,KALLv2,,/v2/kall/contactInfo/,,,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,97,KALLv2,,/v2/kall/kallInfo,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,99,Katchup,,/v2/katchup/sendBulkKatchupMsgMultiPart/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,100,Katchup,,/v2/katchup/getBulkMessageInfo/,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,101,Group,,/v2/group/updateGroupProfileImage/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,102,Group,,/v2/group/removeGroupProfileImage,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,104,Group,,/v2/group/editGroupName,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,105,profile,,/v2/profile/updateAboutYourself/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,106,profile,,/v2/profile/updateContactInformation/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,107,profile,,/v2/profile/saveOrUpdateCollegeDetails/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,108,profile,,/v2/profile/saveOrUpdateSchoolDetails/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,109,profile,,/v2/profile/saveOrUpdateUniversityDetails/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,110,profile,,/v2/profile/saveOrUpdateOtherActivity/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,111,profile,,/v2/profile/saveOrUpdateExperienceDetails/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,112,profile,,/v2/profile/updateBasicInformation/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,113,profile,,/v2/profile/uploadProfileAttachments,,POST?,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,114,profile,,/v2/profile/uploadCoverImage/,,POST?,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,117,Contacts,,/v2/contacts/addMultipleContact,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,118,katchup,,/v2/katchup/forwardKatchupMessage/,,POST?,yes,text only,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,119,katchup,,/v2/katchup/getMessagesByReferenceMessageList,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,120,katchup,,/v2/katchup/getReferenceMSGDetails/,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,121,profile,,/v2/profile/deactivateAccount/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,124,profile,,/v2/profile/setDeviceAsPrimary/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,125,profile,,/v2/profile/isDevicePrimaryOrNot/,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,126,profile,,/v2/profile/updateDeviceAsPrimary/,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,130,profile,,/v2/profile/setDeviceAsSecondary,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,131,profile,,/v2/profile/updateDeviceAsSecondary,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,132,generatePresignedUrl KMAIL,,/v2/aws/generate-presigned-url,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,133,KMAIL READMAIL,,/kmail5/readMail/getKmailDetailsUsingKmailID/,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,134,kmail SENTMAIL,,/kmail5/v2/sentMail/postMail/,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,136,KALL,,/v2/kall/scheduledRepeatKall,,,text only,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,137,KALL,,/v2/kall/fetchScheduledRepeatKall,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,138,AWS katchup,,/v2/aws/katchup/generate-presigned-url,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,139,katchup,,/v2/katchup/forwardKatchupMessageNew,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,140,katchup,,/v2/katchup/sendBulkKatchupMsg,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,141,Login,,/v2/signupLogin/userLogout/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,143,Dashboard,,/v2/dashboard/homeDashboardNewMsgs,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,144,AWS katchup,,/v2/aws/checkAttachmentS3/,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,147,profile,,/v2/profile/deleteCollegeDetail,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,148,profile,,/v2/profile/deleteSchoolDetail,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,149,profile,,/v2/profile/deleteUniversityDetail,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,150,profile,,/v2/profile/deleteExperienceDetail,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,151,KALL,,/v2/kall/getKallStatus,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,152,Katchup,,/v2/katchup/messageCountBetweenSenderAndReceiver/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,157,Integration,,/redbus/tripdetailsV2/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,159,Integration,,/redbus/availabletrips/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,160,Integration,,/redbus/destinations/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,161,Integration,,/redbus/tripdetails/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,162,Integration,,/redbus/blockTicket/{kpostId},,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,164,Integration,,/redbus/boardingPoint/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,165,Katchup,,/v2/katchup/filterKatchUpMessage/,,,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,166,Katchup,,/v2/signupLogin/setAccessCode,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,167,kall,,/v2/kall/updateSenderAndReceiverKallStatus,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,168,"Business,Institution sigunp",,/v2/signupLogin/adminRegistration/,,,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,170,Admin,,/admin/addingUserByAdmin/,,POST?,text only,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,171,Admin,,/admin/resetPassword/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,172,Admin,,/admin/holdOrRelease/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,173,Admin,,/admin/createOrRemoveBackupAdmin/,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,174,Admin,,/admin/terminateUser/,,,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,176,Common,,/v2/common/getCompanyDetails,,GET?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,177,Admin,,/common/updateCompanyLogo,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,179,Admin,,/admin/removeCompanyLogo,,POST?,yes,yes,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,180,KMail,,/kmail5/v2/readMail/downloadODAttachment,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,182,Group,,/v2/group/deleteGroup,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,183,Kmail,,/v2/kmailSetting/saveOrUpdateCustomizedInstantReply,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,184,Kmail,,/v2/kmailSetting/deleteCustomizedInstantReply,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,185,profile,,/v2/profile/getUserProfileUsingKpostID/,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,186,Kall,,/v2/kall/getKallStatusUsingKallID,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,187,Contacts,,/v2/contacts/updateInviteStatus/,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,188,profile,,/v2/profile/shareUserDetails,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,189,Contacts,,/v2/contacts/blockOrUnBlockMultipleContact,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,193,Katchup,,/v2/katchup/reportAbuse,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,194,Katchup,,/v2/katchup/forwardKatchupMultipleMsgs,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,195,kall,,/v2/kall/modifyKallMembers,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,196,katchup,,/v2/katchup/forwardMessageBacktrackByMsgID,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,197,Admin,,/v2/admin/updateCompanyDetails,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,198,Admin,,/v2/admin/updateBankAccountDetails,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,199,Admin,,/v2/admin/createKpostIDAndDesignationSuggestion,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,200,Admin,,/v2/admin/updateRole,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,201,Common,,/v2/common/getTotalCountByDate,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,202,Common,,/v2/common/generateDomainAndUniqueName,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,203,Common,,/v2/common/saveEnquiryDetails,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,205,Common,,/v2/common/mobileNoExistInsideCompany/,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,206,Admin,,/admin/displayNameSuggestion,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,208,Common,,/v2/common/uniqueNameExist,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,209,Common,,/v2/common/saveUnsubscriberDetails,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,210,Login,,/v2/signupLogin/getLoginHistory,,GET?,text only,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,211,signupLoginForMediumAndLarge,,/signupLoginForMediumAndLarge/adminUserLogin,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,212,Common,,/v2/common/getCompanyDetailsByAdmin,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,213,katchup,,/v2/katchup/searchKatchUpMessageSubject,,GET?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,214,Profile,,/v2/profile/convertBase64ToImage,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,215,Profile,,/v2/profile/uploadImageToS3,,POST?,text only,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,217,Profile,,/v2/profile/updateSignatureImage,,POST?,text only,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,219,katchup,,/v2/katchup/sendMessageForForwardSelectedAttachment,,POST?,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
P1,kpost-api,KatchupAPI,221,General Setting,,/generalSetting/fontSetting,,,yes,no,Add the HTTP method (GET/POST/PUT/DELETE) for this row.
