Priority,Product,Tab,Row,Module,Endpoint,Path,Method,MethodFrom,NeedsConfirming,FillCell,Request,HasResponse,Action
P1,kpost-api,KatchupAPI,101,Group,,/v2/group/updateGroupProfileImage/,POST,payload-rule,yes,KatchupAPI!Q101,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,102,Group,,/v2/group/removeGroupProfileImage,POST,payload-rule,yes,KatchupAPI!Q102,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,104,Group,,/v2/group/editGroupName,POST,payload-rule,yes,KatchupAPI!Q104,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,105,profile,,/v2/profile/updateAboutYourself/,POST,payload-rule,yes,KatchupAPI!Q105,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,106,profile,,/v2/profile/updateContactInformation/,POST,payload-rule,yes,KatchupAPI!Q106,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,112,profile,,/v2/profile/updateBasicInformation/,POST,payload-rule,yes,KatchupAPI!Q112,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,126,profile,,/v2/profile/updateDeviceAsPrimary/,POST,payload-rule,yes,KatchupAPI!Q126,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,131,profile,,/v2/profile/updateDeviceAsSecondary,POST,payload-rule,yes,KatchupAPI!Q131,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,136,KALL,,/v2/kall/scheduledRepeatKall,POST,payload-rule,yes,KatchupAPI!Q136,payload (sample broken),no,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,147,profile,,/v2/profile/deleteCollegeDetail,POST,payload-rule,yes,KatchupAPI!Q147,payload,no,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,148,profile,,/v2/profile/deleteSchoolDetail,POST,payload-rule,yes,KatchupAPI!Q148,payload,no,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,149,profile,,/v2/profile/deleteUniversityDetail,POST,payload-rule,yes,KatchupAPI!Q149,payload,no,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,150,profile,,/v2/profile/deleteExperienceDetail,POST,payload-rule,yes,KatchupAPI!Q150,payload,no,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,165,Katchup,,/v2/katchup/filterKatchUpMessage/,POST,payload-rule,yes,KatchupAPI!Q165,payload (sample broken),yes,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,167,kall,,/v2/kall/updateSenderAndReceiverKallStatus,POST,payload-rule,yes,KatchupAPI!Q167,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,168,"Business,Institution sigunp",,/v2/signupLogin/adminRegistration/,POST,payload-rule,yes,KatchupAPI!Q168,payload (sample broken),yes,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,170,Admin,,/admin/addingUserByAdmin/,POST,payload-rule,yes,KatchupAPI!Q170,payload (sample broken),yes,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,177,Admin,,/common/updateCompanyLogo,POST,payload-rule,yes,KatchupAPI!Q177,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,179,Admin,,/admin/removeCompanyLogo,POST,payload-rule,yes,KatchupAPI!Q179,payload,yes,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,182,Group,,/v2/group/deleteGroup,POST,payload-rule,yes,KatchupAPI!Q182,payload,no,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,184,Kmail,,/v2/kmailSetting/deleteCustomizedInstantReply,POST,payload-rule,yes,KatchupAPI!Q184,payload,no,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,KatchupAPI,187,Contacts,,/v2/contacts/updateInviteStatus/,POST,payload-rule,yes,KatchupAPI!Q187,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,195,kall,,/v2/kall/modifyKallMembers,POST,payload-rule,yes,KatchupAPI!Q195,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,197,Admin,,/v2/admin/updateCompanyDetails,POST,payload-rule,yes,KatchupAPI!Q197,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,198,Admin,,/v2/admin/updateBankAccountDetails,POST,payload-rule,yes,KatchupAPI!Q198,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,200,Admin,,/v2/admin/updateRole,POST,payload-rule,yes,KatchupAPI!Q200,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,210,Login,,/v2/signupLogin/getLoginHistory,POST,payload-rule,yes,KatchupAPI!Q210,payload (sample broken),no,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,217,Profile,,/v2/profile/updateSignatureImage,POST,payload-rule,yes,KatchupAPI!Q217,file upload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,224,General Setting,,/generalSetting/katchupNotification,POST,payload-rule,yes,KatchupAPI!Q224,payload (sample broken),no,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,225,General Setting,,/generalSetting/kmailNotification,POST,payload-rule,yes,KatchupAPI!Q225,payload (sample broken),no,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,226,General Setting,,/generalSetting/kallNotification,POST,payload-rule,yes,KatchupAPI!Q226,payload (sample broken),no,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,230,Common,,/v2/common/updateFlutterAppVersion,POST,payload-rule,yes,KatchupAPI!Q230,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,234,AI,,/ai/chatResponse,POST,payload-rule,yes,KatchupAPI!Q234,payload (sample broken),no,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,237,Kword,,/kword/create,POST,payload-rule,yes,KatchupAPI!Q237,payload (sample broken),no,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,249,Profile,,/v2/profile/updatePrivacySettingDetails/,POST,payload-rule,yes,KatchupAPI!Q249,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,250,AI,,/ai/messageAssist,POST,payload-rule,yes,KatchupAPI!Q250,payload (sample broken),no,"Confirm the method (POST, derived): derived POST from a payload whose sample JSON does not parse."
P1,kpost-api,KatchupAPI,259,Knews,,/v2/knews/updateKnewsSettings/,POST,payload-rule,yes,KatchupAPI!Q259,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,266,Kword,,/kword/update,POST,payload-rule,yes,KatchupAPI!Q266,payload,no,"Confirm the method (POST, derived): derived POST from the payload - PUT is also plausible for this name."
P1,kpost-api,KatchupAPI,268,Kword,,/kword/deleteHeading,POST,payload-rule,yes,KatchupAPI!Q268,payload,no,"Confirm the method (POST, derived): derived POST from the payload - DELETE is also plausible for this name."
P1,kpost-api,Sheet3,15,,,/common/sendOTP/,GET,payload-rule,yes,Sheet3!H15,no payload,yes,"Confirm the method (GET, derived): derived GET because no payload is documented, but ""sendOTP"" reads like a write."
P2,kmail-api,KMAILAPI,5,Kmail,,/common/postBoxContacts/,POST,method-column,yes,KMAILAPI!C5,no payload,yes,"Add the request payload — the method column says POST, which takes one."
P2,kmail-api,KMAILAPI,19,Kmail,,/common/convertMailAsPDF/,POST,method-column,,,no payload,no,Add the request payload (the method column says POST) and a sample response.
P2,kmail-api,KMAILAPI,30,Kmail,,/readMail/referenceMailContent/,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,38,Kmail,,/kmailSetting/getDigitalSignature,GET,request-note,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,39,Kmail,,/common/deleteOtherDomainContact/,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,40,Kmail,,/common/editOtherDomainContactsDetails/,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,41,Kmail,,/common/knownPostBoxContacts/,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,42,Kmail,,/common/statusOfKmailsContactsTotalCount/,GET,request-note,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,45,Kmail,,/v2/sentMail/postMail/,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,46,Kmail,,/readMail/getCopiesInfo/{kmailID},GET,method-column,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,47,Kmail,,/v2/aws/generate-presigned-url,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,48,Kmail,,/v2/readMail/downloadODAttachment,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,49,Kmail,,/readMail/downloadThumbnail/{uuid},GET,method-column,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,50,Kmail,,/readMail/mediaStreaming/{uuid},GET,method-column,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,51,Kmail,,/kmailSetting/deleteCustomizedInstantReply,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,52,Kmail,,/kmailSetting/saveOrUpdateCustomizedInstantReply,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,53,Kmail,,/common/kmailGroupReadStatus/,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,55,Kmail,,/kmailSetting/saveOrUpdateCustomizedSaluations,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,56,Kmail,,/kmailSetting/deleteCustomizedSaluation,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,57,Kmail,,/readMail/getKmailDetailsUsingKmailID,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,60,Kmail,,/kmailSetting/getAllLetterHead,GET,method-column,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,61,Kmail,,/kmailSetting/setLetterHead,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,62,Kmail,,/kmailSetting/getLetterHead,GET,method-column,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,63,Kmail,,/kmailSetting/saveOrUpdateMailSignaturePersonalData,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,64,Kmail,,/kmailSetting/saveOrUpdateMailSignatureCompanyData,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,65,Kmail,,/kmailSetting/saveOrUpdateMailSignatureGraphics,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,66,Kmail,,/kmailSetting/saveOrUpdateMailSignatureStyle,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,67,Kmail,,/kmailSetting/saveOrUpdateMailSignatureSocialMediaLink,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,68,Kmail,,/kmailSetting/getMailSignature,GET,method-column,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,69,Kmail,,/kmailSetting/getLetterHeadTemplate,GET,method-column,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,70,Kmail,,/kmailSetting/saveOrUpdateMailSignatureTemplateId,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,71,Kmail,,/kmailSetting/saveOrUpdateMailSignature,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,72,Kmail,,/kmailSetting/deleteLetterHead,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,73,Kmail,,/sentMail/postBulkMail,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,74,Kmail,,/sentMail/bulkMail/status/{fromAddress},GET,method-column,,,no payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,75,Kmail,,/common/getBulkKmailDashboardMsg,POST,method-column,,,payload,text only,Add a sample response.
P2,kmail-api,KMAILAPI,76,Kmail,,/common/getAllMailCount,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,77,Kmail,,/kmailSetting/updateMailCountDaysLimit,POST,method-column,,,payload,no,Add a sample response.
P2,kmail-api,KMAILAPI,78,Kmail,,/kmailSetting/getMailCountDaysLimit,GET,method-column,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,65,,download,/v2/katchup/download/{uuid},GET,request-note,,,no payload,text only,Add a sample response.
P2,kpost-api,KatchupAPI,98,profile,,/v2/profile/downloadProfileImage/{kpostID},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,103,Group,,/v2/group/downloadGroupProfileImage/{{groupKpostID}/{kpostID},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,115,profile,,/v2/profile/downloadCoverImage/{kpostID},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,120,katchup,,/v2/katchup/getReferenceMSGDetails/,POST,payload-rule,,KatchupAPI!Q120,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,121,profile,,/v2/profile/deactivateAccount/,POST,payload-rule,,KatchupAPI!Q121,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,122,profile,,/v2/profile/sendAccountDeactivationOtp/,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,125,profile,,/v2/profile/isDevicePrimaryOrNot/,POST,payload-rule,,KatchupAPI!Q125,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,127,common,,/v2/common/getFlutterAppVersion/,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,128,profile,,/v2/profile/getlanguages/,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,129,profile,,/v2/profile/sendPrimaryOrSecondaryDeviceOtp/{requestType},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,130,profile,,/v2/profile/setDeviceAsSecondary,POST,payload-rule,,KatchupAPI!Q130,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,132,generatePresignedUrl KMAIL,,/v2/aws/generate-presigned-url,POST,payload-rule,,KatchupAPI!Q132,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,133,KMAIL READMAIL,,/kmail5/readMail/getKmailDetailsUsingKmailID/,POST,payload-rule,,KatchupAPI!Q133,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,134,kmail SENTMAIL,,/kmail5/v2/sentMail/postMail/,POST,payload-rule,,KatchupAPI!Q134,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,135,katchup,,/v2/katchup/getUnopenedMessagesAndKmailsTotalCount/,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,137,KALL,,/v2/kall/fetchScheduledRepeatKall,POST,payload-rule,,KatchupAPI!Q137,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,138,AWS katchup,,/v2/aws/katchup/generate-presigned-url,POST,payload-rule,,KatchupAPI!Q138,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,139,katchup,,/v2/katchup/forwardKatchupMessageNew,POST,payload-rule,,KatchupAPI!Q139,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,140,katchup,,/v2/katchup/sendBulkKatchupMsg,POST,payload-rule,,KatchupAPI!Q140,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,141,Login,,/v2/signupLogin/userLogout/,POST,payload-rule,,KatchupAPI!Q141,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,142,Login,,/v2/signupLogin/userLogoutFromAllDevices/,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,143,Dashboard,,/v2/dashboard/homeDashboardNewMsgs,POST,payload-rule,,KatchupAPI!Q143,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,144,AWS katchup,,/v2/aws/checkAttachmentS3/,POST,payload-rule,,KatchupAPI!Q144,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,145,AWS KMAIL,,/v2/aws/deleteAttachmentFromS3/{uuid},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,146,katchup,,/v2/katchup/getKatchupMessagesSubject,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,152,Katchup,,/v2/katchup/messageCountBetweenSenderAndReceiver/,POST,payload-rule,,KatchupAPI!Q152,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,153,Kmail,,/kmail5/v2/readMail/getCopiesInfo/{kmailID},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,154,Kloud,,/kmail5/v2/kmailData/getKloudUsedData,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,155,Kecommerce,,/v2/ecommerce/getEcommerceDetails/,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,156,Katchup,,/v2/katchup/mediaStreaming/{uuid},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,157,Integration,,/redbus/tripdetailsV2/,POST,payload-rule,,KatchupAPI!Q157,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,159,Integration,,/redbus/availabletrips/,POST,payload-rule,,KatchupAPI!Q159,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,160,Integration,,/redbus/destinations/,POST,payload-rule,,KatchupAPI!Q160,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,161,Integration,,/redbus/tripdetails/,POST,payload-rule,,KatchupAPI!Q161,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,162,Integration,,/redbus/blockTicket/{kpostId},POST,payload-rule,,KatchupAPI!Q162,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,163,Integration,,/redbus/updatecitylist,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,164,Integration,,/redbus/boardingPoint/,POST,payload-rule,,KatchupAPI!Q164,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,166,Katchup,,/v2/signupLogin/setAccessCode,POST,payload-rule,,KatchupAPI!Q166,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,169,Katchup,,/v2/katchup/getSharedMessageDetails/{msgID},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,178,Admin,,/common/downloadCompanyLogo/{companyID},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,180,KMail,,/kmail5/v2/readMail/downloadODAttachment,POST,payload-rule,,KatchupAPI!Q180,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,181,Group,,/kmail5/v2/readMail/downloadODAttachment,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,183,Kmail,,/v2/kmailSetting/saveOrUpdateCustomizedInstantReply,POST,payload-rule,,KatchupAPI!Q183,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,185,profile,,/v2/profile/getUserProfileUsingKpostID/,POST,payload-rule,,KatchupAPI!Q185,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,186,Kall,,/v2/kall/getKallStatusUsingKallID,POST,payload-rule,,KatchupAPI!Q186,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,188,profile,,/v2/profile/shareUserDetails,POST,payload-rule,,KatchupAPI!Q188,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,189,Contacts,,/v2/contacts/blockOrUnBlockMultipleContact,POST,payload-rule,,KatchupAPI!Q189,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,190,profile,,/v2/profile/downloadFullProfileImage/{kpostID},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,191,Group,,/v2/group/downloadGroupFullProfileImage/{{groupkpostID}/{kpostID},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,192,Katchup,,/v2/katchup/getAllReportMsg,GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,193,Katchup,,/v2/katchup/reportAbuse,POST,payload-rule,,KatchupAPI!Q193,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,194,Katchup,,/v2/katchup/forwardKatchupMultipleMsgs,POST,payload-rule,,KatchupAPI!Q194,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,196,katchup,,/v2/katchup/forwardMessageBacktrackByMsgID,POST,payload-rule,,KatchupAPI!Q196,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,199,Admin,,/v2/admin/createKpostIDAndDesignationSuggestion,POST,payload-rule,,KatchupAPI!Q199,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,201,Common,,/v2/common/getTotalCountByDate,POST,payload-rule,,KatchupAPI!Q201,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,202,Common,,/v2/common/generateDomainAndUniqueName,POST,payload-rule,,KatchupAPI!Q202,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,203,Common,,/v2/common/saveEnquiryDetails,POST,payload-rule,,KatchupAPI!Q203,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,204,Admin,,/admin/getBankAndCompanyDetails/{companyID},GET,request-note,,,no payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,205,Common,,/v2/common/mobileNoExistInsideCompany/,POST,payload-rule,,KatchupAPI!Q205,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,206,Admin,,/admin/displayNameSuggestion,POST,payload-rule,,KatchupAPI!Q206,payload,no,Add a sample response.
P2,kpost-api,KatchupAPI,207,Kecommerce,,/v2/ecommerce/getAll,GET,request-note,,,no payload,no,Add a sample response.
